id,heights,width,depth,texture,texture,texture,texture,texture,texture
1001,1,1,1,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1002,0,1,1,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1003,0,1,1,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1010,0,1,1,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1011,1,1,9,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1012,1,6,1,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1013,1,6,1,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1014,1,1,9,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1015,1,1,11,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1016,1,6,1,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1017,1,6,1,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1018,1,1,11,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1019,1,1,9,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1020,1,1,9,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
1021,1,1,9,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg,Current/textures/walls/generic.jpeg
